district_name,state_name,hypertension_pct,diabetes_pct,obesity_pct,tobacco_use_pct,anaemia_pct
Buldana,Maharashtra,20.3,9.6,15.7,27.25,57.8
Bundi,Rajasthan,18.1,6.95,12.4,33.3,55.9
Burhanpur,MadhyaPradesh,14.9,8.1,12.2,22.45,57.3
Buxar,Bihar,12.2,12.2,16.6,22.0,66.2
Cachar,Assam,16.2,13.75,9.1,42.1,57.4
Central,NCTofDelhi,34.0,13.75,44.8,15.6,44.6
Chamarajanagar,Karnataka,29.35,14.45,30.6,12.6,46.3
Chamba,HimachalPradesh,20.5,11.05,23.2,21.4,43.7
Chamoli,Uttarakhand,24.1,8.3,24.2,20.3,41.8
Champawat,Uttarakhand,24.8,9.6,17.9,21.8,32.5
Champhai,Mizoram,17.85,13.65,22.9,70.6,25.7
Chandauli,UttarPradesh,21.25,10.75,23.1,25.95,48.7
Chandel,Manipur,24.95,13.95,33.7,56.3,27.3
Chandigarh,Chandigarh,27.8,17.8,44.0,6.35,60.3
Chandrapur,Maharashtra,20.65,10.05,9.4,30.2,55.5
Changlang,ArunachalPradesh,25.15,11.15,17.1,40.9,57.2
Charaideo,Assam,18.05,13.4,10.3,41.65,72.3
Chatra,Jharkhand,19.05,11.95,10.4,28.05,56.0
Chennai,TamilNadu,31.0,24.65,41.9,4.8,50.3
Chhatarpur,MadhyaPradesh,17.35,10.85,13.9,35.65,63.5
Chhindwara,MadhyaPradesh,22.15,12.6,18.6,35.05,41.7
ChhotaUdaipur,Gujarat,18.45,12.1,7.6,28.3,78.9
Chikkaballapura,Karnataka,28.3,14.2,26.6,19.2,45.5
Chikmagalur,Karnataka,28.95,15.65,33.2,21.6,40.8
Chirang,Assam,23.2,11.05,13.3,36.85,65.2
Chitradurga,Karnataka,30.15,14.75,37.4,25.55,44.6
Chitrakoot,UttarPradesh,15.75,7.1,14.5,36.15,46.6
Chittaurgarh,Rajasthan,19.7,10.7,15.3,24.05,45.1
Chittoor,AndhraPradesh,24.9,19.8,33.4,11.5,51.8
Churachandpur,Manipur,20.75,14.35,28.0,67.95,32.0
Churu,Rajasthan,23.3,7.55,20.3,22.45,52.9
Coimbatore,TamilNadu,31.25,18.7,50.0,13.45,48.9
Cuddalore,TamilNadu,23.55,20.6,35.1,15.95,58.6
Cuttack,Odisha,24.9,19.45,32.5,38.4,64.5
Dadra&NagarHaveli,DadraandNagarHaveli,13.4,14.9,23.0,21.55,64.4
Dadri,Haryana,21.75,11.85,28.8,20.1,72.6
Dahod,Gujarat,17.95,11.6,6.5,35.25,75.1
DakshinDinajpur,WestBengal,16.9,19.75,20.2,30.0,82.0
DakshinaKannada,Karnataka,30.0,15.1,22.2,9.75,38.8
Daman,DamanandDiu,19.15,14.2,36.9,19.2,60.8
Damoh,MadhyaPradesh,22.0,9.25,17.4,35.75,48.1
Dantewada,Chhattisgarh,21.4,9.4,6.8,46.9,76.0
Darbhanga,Bihar,20.5,16.4,13.4,30.35,60.8
Darjeeling,WestBengal,29.35,14.85,28.3,31.7,59.2
Darrang,Assam,15.6,12.6,13.3,26.6,70.4
DataNotAvailable,JammuandKashmir,0.0,0.0,0.0,0.0,0.0
Datia,MadhyaPradesh,17.5,13.4,19.1,25.7,58.6
Dausa,Rajasthan,14.15,7.95,9.1,31.65,60.3
Davanagere,Karnataka,27.15,16.8,38.1,19.45,51.7
Debagarh,Odisha,23.8,13.8,13.4,40.0,72.2
Dehradun,Uttarakhand,27.8,15.8,39.8,14.0,47.9
Deoghar,Jharkhand,16.35,11.75,10.9,29.3,70.2
Deoria,UttarPradesh,19.3,11.1,19.3,19.6,33.8
DevbhumiDwarka,Gujarat,17.7,13.5,24.1,42.4,48.8
Dewas,MadhyaPradesh,26.5,8.6,19.2,24.7,51.3
Dhalai,Tripura,15.95,15.75,19.1,58.25,70.0
Dhamtari,Chhattisgarh,22.95,12.1,12.7,26.05,59.6
Dhanbad,Jharkhand,21.7,11.6,16.4,27.65,63.8
Dhar,MadhyaPradesh,19.85,10.1,10.1,25.75,50.2
Dharmapuri,TamilNadu,28.3,16.75,33.4,16.25,42.5
Dharwad,Karnataka,25.15,13.95,33.8,21.8,52.1
Dhaulpur,Rajasthan,14.25,6.55,11.7,28.95,68.5
Dhemaji,Assam,20.05,10.55,15.6,44.45,62.9
Dhenkanal,Odisha,25.65,15.85,21.8,42.1,65.9
Dhubri,Assam,18.6,9.3,12.4,38.4,63.2
Dhule,Maharashtra,23.25,14.35,23.9,7.8,61.2
DibangValley,ArunachalPradesh,38.8,10.8,21.7,37.85,62.9
Dibrugarh,Assam,19.75,17.3,20.9,42.8,70.8
DimaHasao,Assam,20.3,11.55,16.2,38.25,60.5
Dimapur,Nagaland,19.7,13.05,21.1,30.2,34.7
Dindigul,TamilNadu,29.95,23.6,38.5,17.1,42.6
Dindori,MadhyaPradesh,26.45,9.7,7.9,41.7,65.2
Diu,DamanandDiu,17.9,18.35,30.6,18.1,50.3
Doda,JammuandKashmir,22.3,9.9,31.3,20.15,66.5
Dumka,Jharkhand,17.05,11.9,9.1,33.1,73.4
Dungarpur,Rajasthan,13.9,12.6,4.4,22.2,72.6
Durg,Chhattisgarh,24.55,11.7,23.9,21.9,51.7
East,NCTofDelhi,29.8,12.3,41.3,13.25,42.5
EastDistrict,Sikkim,32.9,15.2,38.2,24.55,43.3
EastGaroHills,Meghalaya,19.25,12.75,7.0,30.15,50.9
EastGodavari,AndhraPradesh,30.6,24.65,44.4,14.35,63.0
EastJaintiaHills,Meghalaya,17.95,7.0,15.2,58.85,43.9
EastKameng,ArunachalPradesh,24.25,11.4,19.6,36.55,26.2
EastKhasiHills,Meghalaya,24.75,9.25,15.6,40.85,48.2
EastSiang,ArunachalPradesh,33.9,11.1,27.9,38.0,35.2
Ernakulam,Kerala,29.9,25.65,39.6,8.35,31.7
Erode,TamilNadu,32.8,16.35,37.1,18.65,55.4
Etah,UttarPradesh,17.8,6.9,20.4,25.5,55.4
Etawah,UttarPradesh,18.2,9.55,23.7,25.35,57.4
Faizabad,UttarPradesh,16.3,18.8,24.5,24.95,52.3
Faridabad,Haryana,24.75,10.8,37.1,12.85,54.2
Faridkot,Punjab,30.75,15.8,39.4,9.35,63.2
Farrukhabad,UttarPradesh,14.3,6.9,15.7,27.7,56.9
Fatehabad,Haryana,18.8,16.55,29.8,12.15,62.3
FatehgarhSahib,Punjab,33.45,16.65,48.2,6.25,65.1
Fatehpur,UttarPradesh,17.5,7.25,15.8,40.8,63.0
Fazilka,Punjab,32.05,13.65,31.6,8.95,66.9
Firozabad,UttarPradesh,19.3,8.45,24.3,25.4,57.1
Firozpur,Punjab,31.8,12.95,39.2,6.35,61.5
Gadag,Karnataka,23.0,12.65,30.6,22.05,50.5
Gadchiroli,Maharashtra,17.1,8.8,5.6,43.95,66.2
Gajapati,Odisha,22.3,11.45,17.5,26.35,66.1
Ganderbal,JammuandKashmir,20.3,8.75,34.2,21.3,77.2
Gandhinagar,Gujarat,26.6,18.6,29.5,20.5,68.8
Ganganagar,Rajasthan,17.25,8.95,19.5,15.55,59.0
Ganjam,Odisha,26.55,18.55,36.9,31.5,56.7
Garhwa,Jharkhand,20.85,14.0,13.6,25.75,62.7
Gariyaband,Chhattisgarh,24.1,8.0,9.1,33.15,64.6
GautamBuddhaNagar,UttarPradesh,18.65,16.0,34.7,16.35,59.4
Gaya,Bihar,17.7,9.8,10.8,27.8,64.3
Ghaziabad,UttarPradesh,21.9,19.05,43.7,12.0,55.2
Ghazipur,UttarPradesh,17.25,11.0,14.3,21.05,45.7
GirSomnath,Gujarat,13.15,13.7,17.3,39.8,49.9
Giridih,Jharkhand,20.65,13.1,7.8,24.6,64.7
Goalpara,Assam,17.35,11.7,15.3,33.8,64.9
Godda,Jharkhand,19.4,14.65,10.7,23.9,66.3
Golaghat,Assam,21.25,13.0,16.0,36.8,77.2
Gomati,Tripura,20.6,17.1,19.6,52.7,62.3
Gonda,UttarPradesh,25.75,10.55,17.5,34.8,49.3
Gondiya,Maharashtra,20.35,9.05,9.4,36.15,60.4
Gopalganj,Bihar,21.55,10.3,17.9,26.5,53.8
Gorakhpur,UttarPradesh,18.75,12.75,21.1,25.0,52.9
Gulbarga,Karnataka,20.9,13.25,21.8,22.25,56.0
Gumla,Jharkhand,17.5,10.3,5.6,35.15,59.5
Guna,MadhyaPradesh,17.6,9.0,12.0,24.05,49.8
Guntur,AndhraPradesh,28.55,24.3,46.4,13.5,59.5
Gurgaon,Haryana,19.45,14.45,24.3,17.75,67.5
Gurudaspur,Punjab,38.0,14.45,41.0,4.15,55.2
Gwalior,MadhyaPradesh,22.5,12.05,26.1,17.4,62.5
Hailakandi,Assam,23.1,16.55,10.9,51.7,61.4
Hamirpur,HimachalPradesh,31.65,20.2,37.1,16.85,49.5
Hamirpur,UttarPradesh,17.75,6.0,9.3,40.75,46.1
Hanumangarh,Rajasthan,21.3,7.95,17.6,18.8,60.3
Haora,WestBengal,25.4,18.6,22.8,25.35,65.3
Hapur,UttarPradesh,24.3,8.65,32.4,16.6,50.6
Harda,MadhyaPradesh,21.3,9.25,16.8,28.8,62.6
Hardoi,UttarPradesh,19.0,8.9,13.6,29.3,59.7
Haridwar,Uttarakhand,30.05,11.1,29.8,18.75,43.8
Hassan,Karnataka,28.8,17.5,36.1,19.95,42.2
Haveri,Karnataka,22.9,13.95,29.1,21.15,50.8
Hazaribagh,Jharkhand,24.8,11.15,15.0,23.65,56.1
Hingoli,Maharashtra,17.4,10.6,16.6,20.25,51.3
Hisar,Haryana,24.0,14.65,30.2,18.15,63.8
Hojai,Assam,23.1,15.55,20.1,36.25,56.3
Hoshangabad,MadhyaPradesh,26.95,9.75,20.6,35.9,51.9
Hoshiarpur,Punjab,39.45,13.35,40.7,5.15,54.1
Hugli,WestBengal,25.4,21.0,34.6,30.8,75.1
Hyderabad,Telangana,35.95,24.0,51.0,7.05,52.7
Idukki,Kerala,33.3,23.35,36.3,14.25,32.0
ImphalEast,Manipur,28.95,17.2,40.1,46.55,35.9
ImphalWest,Manipur,32.95,19.2,36.9,45.15,26.8
Indore,MadhyaPradesh,21.0,10.2,19.0,20.45,48.1
Jabalpur,MadhyaPradesh,21.4,15.2,14.6,37.4,48.9
Jagatsinghapur,Odisha,28.2,19.15,35.5,38.4,59.8
Jagitial,Telangana,28.4,17.5,26.0,17.35,56.3
Jaipur,Rajasthan,15.6,8.2,18.1,19.7,54.1
Jaisalmer,Rajasthan,12.75,6.85,11.2,24.95,44.4
Jajapur,Odisha,25.9,16.35,21.3,46.6,63.4
Jalandhar,Punjab,35.0,16.3,48.3,6.0,57.0
Jalaun,UttarPradesh,18.4,5.6,14.6,31.65,44.2
Jalgaon,Maharashtra,22.55,14.0,26.2,25.15,65.2
Jalna,Maharashtra,23.3,12.0,20.6,19.75,58.2
Jalor,Rajasthan,10.95,9.95,4.3,25.35,59.9
Jalpaiguri,WestBengal,22.45,15.5,16.7,36.6,71.4
Jammu,JammuandKashmir,21.55,9.25,38.3,13.25,66.6
Jamnagar,Gujarat,16.55,15.4,29.5,29.85,50.2
Jamtara,Jharkhand,19.85,11.7,7.1,31.65,77.7
Jamui,Bihar,13.7,13.1,12.7,28.2,75.2
Jangoan,Telangana,27.55,16.35,24.1,15.6,57.5
Janjgir-Champa,Chhattisgarh,24.95,10.1,12.8,27.6,66.3
Jashpur,Chhattisgarh,31.45,9.35,13.4,38.5,61.5
Jaunpur,UttarPradesh,17.85,8.8,15.7,24.8,34.0
JayashankarBhupalapally,Telangana,29.95,15.45,22.4,16.5,65.9
Jehanabad,Bihar,12.7,13.95,14.3,27.3,68.1
Jhabua,MadhyaPradesh,23.6,10.25,11.6,19.7,58.8
Jhajjar,Haryana,23.9,11.0,43.5,18.35,60.1
Jhalawar,Rajasthan,16.15,8.25,8.6,32.6,51.5
Jhansi,UttarPradesh,16.5,7.15,12.6,29.8,41.3
Jharsuguda,Odisha,22.85,17.8,27.0,33.25,67.8
Jhunjhunu,Rajasthan,23.15,7.45,19.0,22.9,55.4
Jind,Haryana,19.2,13.75,32.3,18.9,59.6
Jodhpur,Rajasthan,14.8,6.9,13.3,25.25,43.4
JogulambaGadwal,Telangana,25.6,11.8,21.9,16.7,64.6
Jorhat,Assam,26.1,17.15,19.9,31.8,71.8
Junagadh,Gujarat,22.05,18.9,33.4,34.1,58.8
JyotibaPhuleNagar,UttarPradesh,21.85,8.7,19.7,21.65,47.6
Kabeerdham,Chhattisgarh,25.25,8.95,11.8,26.95,43.6
Kachchh,Gujarat,18.65,13.15,25.7,23.8,57.5
Kaimur(bhabua),Bihar,13.65,8.6,11.8,26.8,70.3
Kaithal,Haryana,18.65,16.35,32.7,12.15,61.5
Kalahandi,Odisha,26.3,13.05,15.0,36.85,64.2
Kamareddy,Telangana,28.4,15.2,21.0,15.65,58.9
Kamrup,Assam,20.7,18.85,23.5,29.5,71.5
KamrupMetropolitan,Assam,18.65,18.7,21.3,25.85,74.6
Kancheepuram,TamilNadu,28.15,23.6,46.4,11.0,57.0
Kandhamal,Odisha,24.6,11.4,15.7,38.75,48.9
Kangra,HimachalPradesh,25.75,16.05,31.0,17.05,63.4
Kannauj,UttarPradesh,14.65,7.1,18.8,29.8,65.2
Kanniyakumari,TamilNadu,27.3,27.1,53.0,6.0,45.6
Kannur,Kerala,32.9,24.4,32.4,7.3,39.7
KanpurDehat,UttarPradesh,14.55,8.75,19.6,30.35,54.9
KanpurNagar,UttarPradesh,16.75,9.55,25.2,28.15,57.0
KanshiramNagar,UttarPradesh,18.0,8.5,20.7,25.8,64.6
Kapurthala,Punjab,34.25,15.85,42.4,5.9,54.5
Karaikal,Puducherry,22.45,22.6,39.3,12.3,54.4
Karauli,Rajasthan,11.9,6.9,10.5,34.45,61.5
KarbiAnglong,Assam,21.45,12.65,15.7,37.75,59.0
Kargil,Ladakh,19.4,8.75,26.3,16.9,92.0
Karimganj,Assam,16.85,13.35,6.6,48.6,52.0
Karimnagar,Telangana,29.85,18.4,28.8,12.5,61.1
Karnal,Haryana,19.4,9.2,36.5,14.6,61.9
Karur,TamilNadu,26.6,26.15,34.7,15.7,65.0
Kasaragod,Kerala,26.05,21.35,28.4,8.85,35.4
Kathua,JammuandKashmir,21.25,12.1,38.2,17.7,53.6
Katihar,Bihar,17.4,17.0,13.1,27.65,68.4
Katni,MadhyaPradesh,19.65,12.65,16.4,34.55,58.7
Kaushambi,UttarPradesh,9.7,13.6,17.3,34.25,54.4
Kendrapara,Odisha,23.35,18.65,24.1,42.9,58.8
Kendujhar,Odisha,24.6,13.55,17.0,49.55,69.2
Khagaria,Bihar,14.55,19.4,18.1,23.6,59.5
Khammam,Telangana,29.2,17.7,36.1,10.75,62.4
Khandwa(eastNimar),MadhyaPradesh,19.45,9.25,13.7,25.9,64.8
Khargone(westNimar),MadhyaPradesh,23.05,9.15,15.0,25.75,50.1
Kheda,Gujarat,24.25,17.1,17.8,29.65,76.1
Kheri,UttarPradesh,21.25,9.05,16.4,35.0,53.0
Khordha,Odisha,22.65,23.55,39.3,32.4,68.1
Khowai,Tripura,20.2,18.05,15.4,56.6,63.7
Khunti,Jharkhand,12.95,12.15,3.9,36.7,70.0
Kinnaur,HimachalPradesh,20.65,7.6,26.4,23.05,51.7
Kiphire,Nagaland,18.65,9.75,9.3,27.15,31.4
Kishanganj,Bihar,20.05,14.0,11.6,31.0,65.1
Kishtwar,JammuandKashmir,13.25,6.05,24.9,22.4,84.8
KochBihar,WestBengal,21.25,16.15,16.5,39.2,74.8
Kodagaon,Chhattisgarh,21.4,8.4,6.1,38.45,79.7
Kodagu,Karnataka,32.4,18.35,34.7,15.45,39.9
Kodarma,Jharkhand,17.2,16.8,12.4,19.35,64.9
Kohima,Nagaland,28.4,8.25,11.6,31.15,14.9
Kokrajhar,Assam,18.6,11.65,13.7,40.6,59.5
Kolar,Karnataka,26.1,13.8,27.9,16.1,43.6
Kolasib,Mizoram,20.4,14.75,26.0,72.95,37.7
Kolhapur,Maharashtra,32.1,15.35,23.7,17.7,50.1
Kolkata,WestBengal,23.85,22.95,29.0,24.2,58.2
Kollam,Kerala,33.85,28.2,43.5,11.55,36.0
KomaramBheemAsifabad,Telangana,24.5,10.0,14.0,25.25,67.3
Koppal,Karnataka,20.85,12.05,21.9,27.0,54.8
Koraput,Odisha,22.8,10.4,9.2,45.35,58.2
Korba,Chhattisgarh,28.3,9.9,16.2,30.6,66.4
Koriya,Chhattisgarh,28.3,14.0,17.3,30.95,64.4
Kota,Rajasthan,18.05,6.8,13.0,26.2,51.8
Kottayam,Kerala,36.5,29.05,39.8,10.0,38.7
Kozhikode,Kerala,29.0,23.2,30.7,6.05,29.8
KraDaadi,ArunachalPradesh,22.75,4.9,29.8,17.45,22.6
Krishna,AndhraPradesh,26.25,22.9,40.6,11.35,60.3
Krishnagiri,TamilNadu,24.4,14.5,34.5,14.25,44.0
Kulgam,JammuandKashmir,22.85,6.25,25.9,20.5,77.0
Kullu,HimachalPradesh,19.0,9.25,29.8,17.5,52.8
Kupwara,JammuandKashmir,18.5,7.2,21.3,28.3,73.5
Kurnool,AndhraPradesh,29.4,17.85,29.0,11.0,58.6
Kurukshetra,Haryana,32.4,12.3,37.3,12.8,57.1
KurungKumey,ArunachalPradesh,22.6,8.6,23.3,27.9,34.8
Kushinagar,UttarPradesh,19.15,11.6,20.2,24.7,42.3
LahulAndSpiti,HimachalPradesh,17.1,7.6,26.9,17.6,82.1
Lakhimpur,Assam,22.9,9.35,12.4,41.5,65.4
Lakhisarai,Bihar,13.05,15.3,16.2,23.9,72.6
Lakshadweep,Lakshadweep,24.75,20.1,33.5,23.0,25.8
Lalitpur,UttarPradesh,17.55,5.5,13.2,30.0,38.1
Latehar,Jharkhand,18.75,10.2,7.3,31.3,63.6
Latur,Maharashtra,19.1,10.65,17.6,20.6,50.7
Lawngtlai,Mizoram,16.65,13.4,14.1,71.3,48.5
Leh(ladakh),Ladakh,13.75,6.25,30.2,21.95,93.5
Lohardaga,Jharkhand,18.85,9.85,7.0,32.25,61.7
Lohit,ArunachalPradesh,24.35,9.3,30.9,35.4,47.2
Longding,ArunachalPradesh,25.8,12.5,13.7,36.05,34.1
Longleng,Nagaland,26.3,12.35,7.0,30.95,34.6
LowerDibangValley,ArunachalPradesh,31.85,11.05,16.8,36.35,34.6
LowerSubansiri,ArunachalPradesh,31.15,11.65,23.2,32.35,40.5
Lucknow,UttarPradesh,22.0,15.6,34.8,23.45,55.8
Ludhiana,Punjab,29.25,15.4,45.1,7.0,64.3
Lunglei,Mizoram,16.95,15.3,20.6,68.9,34.9
Madhepura,Bihar,12.45,16.15,12.9,30.55,65.7
Madhubani,Bihar,20.8,16.6,13.7,29.45,61.4
Madurai,TamilNadu,28.7,21.95,40.8,10.55,48.0
Mahabubabad,Telangana,25.35,15.3,23.7,16.55,62.8
Mahabubnagar,Telangana,25.35,12.5,24.0,16.4,54.7
MahamayaNagar,UttarPradesh,24.4,9.25,23.8,25.65,58.2
Mahasamund,Chhattisgarh,19.65,8.05,12.6,33.45,63.0
Mahe,Puducherry,35.5,27.85,28.8,6.8,38.4
Mahendragarh,Haryana,23.7,11.3,29.5,17.6,61.2
Mahesana,Gujarat,24.8,20.5,24.3,22.3,69.3
Mahisagar,Gujarat,15.5,12.7,9.4,25.25,72.5
Mahoba,UttarPradesh,22.25,12.65,19.9,26.85,47.1
Mahrajganj,UttarPradesh,15.35,6.1,10.6,38.25,49.4
Mainpuri,UttarPradesh,16.15,9.3,21.7,22.1,57.8
Majuli,Assam,21.5,13.0,14.4,40.65,67.8
Malappuram,Kerala,26.4,22.7,36.6,7.0,34.7
Maldah,WestBengal,18.55,18.45,22.0,26.8,73.6
Malkangiri,Odisha,18.9,12.75,10.1,44.2,71.9
Mamit,Mizoram,17.65,12.4,21.8,75.4,34.9
Mancherial,Telangana,29.95,15.15,24.6,14.45,56.7
Mandi,HimachalPradesh,22.3,14.25,31.6,16.55,48.9
Mandla,MadhyaPradesh,27.65,13.25,10.7,43.5,60.6
Mandsaur,MadhyaPradesh,32.9,10.9,19.2,18.8,56.7
Mandya,Karnataka,29.95,17.15,38.7,12.7,47.0
Mansa,Punjab,36.2,11.25,32.9,8.65,60.4
Mathura,UttarPradesh,23.25,9.05,25.4,26.1,63.0
Mau,UttarPradesh,26.9,12.15,20.2,22.85,44.3
Mayurbhanj,Odisha,27.45,10.55,14.3,48.55,72.2
Medak,Telangana,27.8,16.75,23.3,16.3,54.4
Medchalmalkajgiri,Telangana,30.65,17.55,41.8,10.45,56.8
Meerut,UttarPradesh,23.1,15.2,38.5,13.5,45.5
Mewat,Haryana,17.35,6.95,14.9,20.6,60.6
Mirzapur,UttarPradesh,25.35,10.35,22.3,23.8,42.1
Moga,Punjab,33.25,13.85,33.1,8.6,54.4
Mokokchung,Nagaland,26.05,9.35,15.2,37.6,25.0
Mon,Nagaland,28.05,11.0,9.4,29.65,30.2
Moradabad,UttarPradesh,23.45,11.2,17.0,18.1,44.9
